tree1,tree2,dissimilarity,fire.history.1,fire.history.2,comp.fire,range.1,range.2,comp.range
LB020,NF15,0.939641109,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB021,NF15,0.991935484,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB023,NF15,0.9566787,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB024,NF15,0.958707361,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB055,NF15,0.942675159,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB056,NF15,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB057,NF15,0.961666667,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB058,NF15,0.98858075,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB059,NF15,0.940020683,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB060,NF15,0.952196382,unburned,unburned,Same,santa.catalina,pinaleno,Different
F1,NF15,0.932142857,burned,unburned,Different,santa.catalina,pinaleno,Different
F2,NF15,0.938411669,burned,unburned,Different,santa.catalina,pinaleno,Different
F3,NF15,0.704391892,burned,unburned,Different,santa.catalina,pinaleno,Different
F4,NF15,0.914448669,burned,unburned,Different,santa.catalina,pinaleno,Different
F5,NF15,0.956228956,burned,unburned,Different,santa.catalina,pinaleno,Different
F10,NF15,0.98568873,burned,unburned,Different,santa.catalina,pinaleno,Different
F6,NF15,0.883185841,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF15,0.940665702,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF15,0.979166667,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF15,0.950892857,burned,unburned,Different,santa.catalina,pinaleno,Different
NF17,NF17,0,unburned,unburned,Same,pinaleno,pinaleno,Same
NF18,NF17,0.935185185,unburned,unburned,Same,pinaleno,pinaleno,Same
NF20,NF17,0.936320755,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF17,1,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF17,1,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF17,0.981132075,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF17,0.872727273,burned,unburned,Different,pinaleno,pinaleno,Same
F15,NF17,1,burned,unburned,Different,pinaleno,pinaleno,Same
F16,NF17,0.993362832,burned,unburned,Different,pinaleno,pinaleno,Same
F17,NF17,1,burned,unburned,Different,pinaleno,pinaleno,Same
F18,NF17,1,burned,unburned,Different,pinaleno,pinaleno,Same
F19,NF17,0.992424242,burned,unburned,Different,pinaleno,pinaleno,Same
F20,NF17,1,burned,unburned,Different,pinaleno,pinaleno,Same
LB019,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB020,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB021,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB023,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB024,NF17,0.990163934,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB055,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB056,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB057,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB058,NF17,0.991304348,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB059,NF17,0.996,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB060,NF17,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
F1,NF17,0.996923077,burned,unburned,Different,santa.catalina,pinaleno,Different
F2,NF17,0.997382199,burned,unburned,Different,santa.catalina,pinaleno,Different
F3,NF17,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F4,NF17,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F5,NF17,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F10,NF17,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F6,NF17,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF17,0.993435449,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF17,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF17,1,burned,unburned,Different,santa.catalina,pinaleno,Different
NF18,NF18,0,unburned,unburned,Same,pinaleno,pinaleno,Same
NF20,NF18,0.918539326,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF18,0.883211679,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF18,1,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF18,1,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF18,1,burned,unburned,Different,pinaleno,pinaleno,Same
F15,NF18,1,burned,unburned,Different,pinaleno,pinaleno,Same
F16,NF18,1,burned,unburned,Different,pinaleno,pinaleno,Same
F17,NF18,1,burned,unburned,Different,pinaleno,pinaleno,Same
F18,NF18,0.98615917,burned,unburned,Different,pinaleno,pinaleno,Same
F19,NF18,1,burned,unburned,Different,pinaleno,pinaleno,Same
F20,NF18,0.964679912,burned,unburned,Different,pinaleno,pinaleno,Same
LB019,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB020,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB021,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB023,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB024,NF18,0.978902954,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB055,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB056,NF18,0.948453608,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB057,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB058,NF18,0.981949458,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB059,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB060,NF18,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
F1,NF18,0.996138996,burned,unburned,Different,santa.catalina,pinaleno,Different
F2,NF18,0.996835443,burned,unburned,Different,santa.catalina,pinaleno,Different
F3,NF18,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F4,NF18,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F5,NF18,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F10,NF18,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F6,NF18,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF18,0.98714653,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF18,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF18,1,burned,unburned,Different,santa.catalina,pinaleno,Different
NF20,NF20,0,unburned,unburned,Same,pinaleno,pinaleno,Same
F11,NF20,1,burned,unburned,Different,pinaleno,pinaleno,Same
F12,NF20,1,burned,unburned,Different,pinaleno,pinaleno,Same
F13,NF20,0.978365385,burned,unburned,Different,pinaleno,pinaleno,Same
F14,NF20,0.979746835,burned,unburned,Different,pinaleno,pinaleno,Same
F15,NF20,1,burned,unburned,Different,pinaleno,pinaleno,Same
F16,NF20,1,burned,unburned,Different,pinaleno,pinaleno,Same
F17,NF20,0.97640118,burned,unburned,Different,pinaleno,pinaleno,Same
F18,NF20,1,burned,unburned,Different,pinaleno,pinaleno,Same
F19,NF20,1,burned,unburned,Different,pinaleno,pinaleno,Same
F20,NF20,1,burned,unburned,Different,pinaleno,pinaleno,Same
LB019,NF20,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB020,NF20,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB021,NF20,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB023,NF20,0.945080092,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB024,NF20,0.977924945,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB055,NF20,0.845991561,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB056,NF20,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB057,NF20,1,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB058,NF20,0.920600858,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB059,NF20,0.91257485,unburned,unburned,Same,santa.catalina,pinaleno,Different
LB060,NF20,0.882447665,unburned,unburned,Same,santa.catalina,pinaleno,Different
F1,NF20,0.997916667,burned,unburned,Different,santa.catalina,pinaleno,Different
F2,NF20,0.998137803,burned,unburned,Different,santa.catalina,pinaleno,Different
F3,NF20,0.949919225,burned,unburned,Different,santa.catalina,pinaleno,Different
F4,NF20,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F5,NF20,0.91827957,burned,unburned,Different,santa.catalina,pinaleno,Different
F10,NF20,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F6,NF20,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F7,NF20,0.976705491,burned,unburned,Different,santa.catalina,pinaleno,Different
F8,NF20,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F9,NF20,1,burned,unburned,Different,santa.catalina,pinaleno,Different
F11,F11,0,burned,burned,Same,pinaleno,pinaleno,Same
F12,F11,0.986754967,burned,burned,Same,pinaleno,pinaleno,Same
F13,F11,0.989528796,burned,burned,Same,pinaleno,pinaleno,Same
F14,F11,0.98816568,burned,burned,Same,pinaleno,pinaleno,Same
F15,F11,0.994285714,burned,burned,Same,pinaleno,pinaleno,Same
F16,F11,0.994680851,burned,burned,Same,pinaleno,pinaleno,Same
F17,F11,0.982300885,burned,burned,Same,pinaleno,pinaleno,Same
F18,F11,0.992857143,burned,burned,Same,pinaleno,pinaleno,Same
F19,F11,1,burned,burned,Same,pinaleno,pinaleno,Same
F20,F11,0.9543379,burned,burned,Same,pinaleno,pinaleno,Same
LB019,F11,0.986206897,unburned,burned,Different,santa.catalina,pinaleno,Different
LB020,F11,0.993311037,unburned,burned,Different,santa.catalina,pinaleno,Different
LB021,F11,0.986577181,unburned,burned,Different,santa.catalina,pinaleno,Different
LB023,F11,1,unburned,burned,Different,santa.catalina,pinaleno,Different
LB024,F11,0.991266376,unburned,burned,Different,santa.catalina,pinaleno,Different
LB055,F11,0.993610224,unburned,burned,Different,santa.catalina,pinaleno,Different
LB056,F11,1,unburned,burned,Different,santa.catalina,pinaleno,Different
LB057,F11,0.992647059,unburned,burned,Different,santa.catalina,pinaleno,Different
LB058,F11,0.985018727,unburned,burned,Different,santa.catalina,pinaleno,Different
LB059,F11,0.997032641,unburned,burned,Different,santa.catalina,pinaleno,Different
LB060,F11,0.995652174,unburned,burned,Different,santa.catalina,pinaleno,Different
F1,F11,0.991902834,burned,burned,Same,santa.catalina,pinaleno,Different
F2,F11,0.993421053,burned,burned,Same,santa.catalina,pinaleno,Different
F3,F11,0.995192308,burned,burned,Same,santa.catalina,pinaleno,Different
F4,F11,0.990909091,burned,burned,Same,santa.catalina,pinaleno,Different
F5,F11,0.992565056,burned,burned,Same,santa.catalina,pinaleno,Different
F10,F11,0.990740741,burned,burned,Same,santa.catalina,pinaleno,Different
F6,F11,0.992857143,burned,burned,Same,santa.catalina,pinaleno,Different
F7,F11,0.994750656,burned,burned,Same,santa.catalina,pinaleno,Different
F8,F11,0.989361702,burned,burned,Same,santa.catalina,pinaleno,Different
F9,F11,0.983193277,burned,burned,Same,santa.catalina,pinaleno,Different
F12,F12,0,burned,burned,Same,pinaleno,pinaleno,Same
F13,F12,0.9375,burned,burned,Same,pinaleno,pinaleno,Same
F14,F12,0.97752809,burned,burned,Same,pinaleno,pinaleno,Same
F15,F12,0.947826087,burned,burned,Same,pinaleno,pinaleno,Same
F16,F12,0.973614776,burned,burned,Same,pinaleno,pinaleno,Same
F17,F12,0.967213115,burned,burned,Same,pinaleno,pinaleno,Same
F18,F12,0.98615917,burned,burned,Same,pinaleno,pinaleno,Same
F19,F12,0.965838509,burned,burned,Same,pinaleno,pinaleno,Same
F20,F12,0.957777778,burned,burned,Same,pinaleno,pinaleno,Same
LB019,F12,0.987179487,unburned,burned,Different,santa.catalina,pinaleno,Different
LB020,F12,0.987012987,unburned,burned,Different,santa.catalina,pinaleno,Different
LB021,F12,0.974683544,unburned,burned,Different,santa.catalina,pinaleno,Different
LB023,F12,1,unburned,burned,Different,santa.catalina,pinaleno,Different
LB024,F12,0.983193277,unburned,burned,Different,santa.catalina,pinaleno,Different
LB055,F12,0.98757764,unburned,burned,Different,santa.catalina,pinaleno,Different
LB056,F12,1,unburned,burned,Different,santa.catalina,pinaleno,Different
LB057,F12,0.944444444,unburned,burned,Different,santa.catalina,pinaleno,Different
LB058,F12,0.947761194,unburned,burned,Different,santa.catalina,pinaleno,Different
LB059,F12,0.994143485,unburned,burned,Different,santa.catalina,pinaleno,Different
LB060,F12,0.987152034,unburned,burned,Different,santa.catalina,pinaleno,Different
F1,F12,0.984375,burned,burned,Same,santa.catalina,pinaleno,Different
F2,F12,0.987220447,burned,burned,Same,santa.catalina,pinaleno,Different
F3,F12,0.990588235,burned,burned,Same,santa.catalina,pinaleno,Different
F4,F12,0.969026549,burned,burned,Same,santa.catalina,pinaleno,Different
F5,F12,0.985611511,burned,burned,Same,santa.catalina,pinaleno,Different
