OTU_ID,F1,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F2,F20,F3,F4,F5,F6,F7,F8,F9,LB019,LB020,LB021,LB023,LB024,LB055,LB056,LB057,LB058,LB059,LB060,NF11,NF12,NF13,NF14,NF15,NF16,NF17,NF18,NF19,NF20,taxonomy
otu17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Peziza
otu18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina
otu19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Basidiomycota;Agaricomycetes;Boletales;NA;NA
otu2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita
otu20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;NA
otu21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Hymenochaetales;Hymenochaetaceae;Coltricia
otu22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella
otu23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA
otu24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita
otu25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina
otu26,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber
otu27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA;NA;NA;NA;NA
otu28,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,Ascomycota;Pezizomycetes;Pezizales;Helvellaceae;Helvella
otu29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;NA
otu3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella
otu30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella
otu31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula
otu32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota;Leotiomycetes;Helotiales;Myxotrichaceae;Oidiodendron
otu33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;NA
otu34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula
otu35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus
otu36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Cantharellales;Clavulinaceae;Clavulina
otu37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Hydnobolites
otu38,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula
otu39,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus
otu4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Cantharellales;Cantharellaceae;Pseudocraterellus
otu40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Agaricales;Amanitaceae;Amanita
otu41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA
otu42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces
otu43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,2,0,2,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactarius
otu44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina
otu45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe
otu46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactarius
otu47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA
otu48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius
otu49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula
otu5,3,1,1,1,1,1,1,2,2,1,0,2,0,1,1,2,1,2,2,1,2,2,1,0,1,1,0,1,1,2,2,0,1,1,1,1,0,0,0,0,0,Ascomycota;Dothideomycetes;Mytilinidales;Gloniaceae;Cenococcum
otu51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;NA
otu52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Gomphales;Gomphaceae;Ramaria
otu53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Boletales;Boletaceae;NA
otu54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula
otu55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius
otu56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Tuber
otu57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Basidiomycota;Agaricomycetes;Sebacinales;Sebacinaceae;Sebacina
otu58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;NA
otu59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,Basidiomycota;Agaricomycetes;Boletales;NA;NA
otu6,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;NA;NA;NA
otu60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Ascomycota;Leotiomycetes;Helotiales;NA;NA
otu61,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula
otu62,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula
otu63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Basidiomycota;Agaricomycetes;Agaricales;NA;NA
otu64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe
otu65,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Basidiomycota;Agaricomycetes;Agaricales;NA;NA
otu66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Basidiomycota;Agaricomycetes;Hysterangiales;NA;NA
otu67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe
otu68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe
otu69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Peziza
