"tree_number","site","site_old","burn_status","range","lat","long","easting","northing","elevation","stem.density","stem.richness","em.stem.density","em.stem.richness","rise","aspect.degrees","exposure","sign.forest.cut","soil.type.floor.condition","forest.coverage..proportion.","largest.dbh.cm","conspecific.distance.m","fire.scars","tree.species","dbh.cm","forest.status","understory.plants","Notes","BIO10","BIO11","BIO12","BIO10_red","BIO11_red","prec","Tmin","Tmax"
"F20","p4","","burned","pinaleno",32.73434,-109.85724,NA,NA,2057,1,1,1,1,0.466666667,4,"N","No","Moist, rocky",0.4,180,5.43,"Yes","P. ponderosa",180,"pine-Doug fir","Quercus hypoleucoides","All trees sampled at this site > 10m from Douglas Fir",188.138702079998,25.6473510399982,596.40599168001,18.8138702079998,2.56473510399982,596.40599168001,2.52647095466651,18.2865464319998
"NF11","p1","","unburned","pinaleno",32.64636,-109.82231,NA,NA,2085,3,2,3,2,0.033333333,40,"N","No","Dry, rocky, and sandy",0.65,150,0.88,"No","P. ponderosa",150,"pine","Quercus hypoleucoides","",186.207194239983,24.979194239988,604.251234560079,18.6207194239983,2.4979194239988,604.251234560078,2.44343286133215,18.1263126133316
"NF12","p1","","unburned","pinaleno",32.64636,-109.82231,NA,NA,2085,3,3,3,3,0.166666667,279,"W","No","Dry, rocky, and sandy",0.8,160,1.4,"No","P. ponderosa",160,"pine","Quercus hypoleucoides","",186.207194239983,24.979194239988,604.251234560079,18.6207194239983,2.4979194239988,604.251234560078,2.44343286133215,18.1263126133316
"NF13","p1","","unburned","pinaleno",32.64636,-109.82231,NA,NA,2085,2,2,2,2,0.6,271,"W","No","Dry, rocky, and sandy",0.8,168.5,5.48,"No","P. ponderosa",168.5,"pine","Quercus hypoleucoides","",186.207194239983,24.979194239988,604.251234560079,18.6207194239983,2.4979194239988,604.251234560078,2.44343286133215,18.1263126133316
"NF14","p1","","unburned","pinaleno",32.64636,-109.82231,NA,NA,2085,1,1,1,1,0.222222222,12,"N","No","Dry, rocky, and sandy",0.75,107,2.1,"Yes","P. ponderosa",107,"pine","Quercus hypoleucoides","minimal burn scar at base of tree",186.207194239983,24.979194239988,604.251234560079,18.6207194239983,2.4979194239988,604.251234560078,2.44343286133215,18.1263126133316
"NF15","p1","","unburned","pinaleno",32.64636,-109.82231,NA,NA,2085,3,2,3,2,0.545454545,25,"N","No","Dry, rocky, and sandy",0.75,164,4.01,"No","P. ponderosa",164,"pine","Quercus hypoleucoides","",186.207194239983,24.979194239988,604.251234560079,18.6207194239983,2.4979194239988,604.251234560078,2.44343286133215,18.1263126133316
"NF16","p2","","unburned","pinaleno",32.63644,-109.81993,NA,NA,2037,33,2,33,2,0.52,315,"W","No","Dry, rocky, and sandy",NA,155,8.73,"Yes","P. ponderosa",155,"pine-oak","Juniperus depeanna and Pseudotsuga menziesii present in low abundance","",183.244919359999,22.8483308799995,615.541660800002,18.3244919359999,2.28483308799995,615.541660800002,2.2442468053333,17.8178766826666
"NF17","p2","","unburned","pinaleno",32.63644,-109.81993,NA,NA,2037,2,2,2,2,0.321428571,265,"W","No","Dry, rocky, and sandy",0.7,176,5.23,"Yes","P. ponderosa",176,"pine-oak","Juniperus depeanna and Pseudotsuga menziesii present in low abundance","minimal burn scar at base of tree",183.244919359999,22.8483308799995,615.541660800002,18.3244919359999,2.28483308799995,615.541660800002,2.2442468053333,17.8178766826666
"NF18","p2","","unburned","pinaleno",32.63644,-109.81993,NA,NA,2037,1,1,1,1,0.692307692,285,"W","No","Dry, rocky, and sandy",0.4,187,4.82,"No","P. ponderosa",187,"pine-oak","Juniperus depeanna and Pseudotsuga menziesii present in low abundance","",183.244919359999,22.8483308799995,615.541660800002,18.3244919359999,2.28483308799995,615.541660800002,2.2442468053333,17.8178766826666
"NF19","p2","","unburned","pinaleno",32.63644,-109.81993,NA,NA,2037,2,1,2,1,0.25,272,"W","No","Dry, rocky, and sandy",0.7,145,1.27,"No","P. ponderosa",145,"pine-oak","Juniperus depeanna and Pseudotsuga menziesii present in low abundance","",183.244919359999,22.8483308799995,615.541660800002,18.3244919359999,2.28483308799995,615.541660800002,2.2442468053333,17.8178766826666
